,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
78,861105,https://www.airbnb.com/rooms/861105,20240925020907,2024-09-25,city scrape,Home Sweet Home For Your Family near new skytrain,,This neighbourhood is an old established one on the outskirts of Bangkok. There are few foreigners to be found but many smiles from the thai locals as you purchase cooked food from the nearby street stalls or enjoy walking the small sois to discover hidden markets or a temple festival etc,https://a0.muscache.com/pictures/7465f7f2-5f4b-4dbc-81ca-862061efb3d1.jpg,822284,https://www.airbnb.com/users/show/822284,Rae And Charlie,2011-07-15,,"Ake and Sah are your hosts whilst you stay at our family accommodation in this tropical paradise located on the outskirts of Bangkok. Rae and Charlie will still be looking after your bookings but due to covid we no longer live in Thailand. Ake and Sah also live in the garden where your accommodation is situated so they are available to help you, answer your questions or even take you on a tour in their 11 seater van!",within a few hours,100%,97%,t,https://a0.muscache.com/im/pictures/user/c4e88ec6-e2f1-4b63-8e6a-ee346878feba.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c4e88ec6-e2f1-4b63-8e6a-ee346878feba.jpg?aki_policy=profile_x_medium,Bang Sue,7,9,"['email', 'phone']",t,t,"Bangkok, Krung Thep Maha Nakhon, Thailand",Bang Sue,,13.83235,100.5228,Entire home,Entire home/apt,4,0.5,Half-bath,2.0,4.0,"[""Gym"", ""Hot water"", ""Pool"", ""Hangers"", ""Extra pillows and blankets"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Refrigerator"", ""Patio or balcony"", ""Microwave"", ""Coffee maker"", ""Air conditioning"", ""Stove"", ""Wifi"", ""Bed linens"", ""Kitchen"", ""Smoking allowed"", ""Host greets you"", ""Shampoo"", ""Long term stays allowed"", ""Dishes and silverware"", ""Children\u2019s dinnerware"", ""Washer"", ""Crib"", ""Backyard"", ""Iron"", ""High chair"", ""Fire extinguisher"", ""Cooking basics"", ""TV with standard cable"", ""Private entrance"", ""Essentials"", ""Babysitter recommendations""]","$1,600.00",3,365,3,3,365,365,3.0,365.0,,t,3,23,53,105,2024-09-25,52,7,0,2013-02-22,2024-08-24,4.88,4.85,4.81,4.96,5.0,4.43,4.92,,f,7,7,0,0,0.37
1281,9836503,https://www.airbnb.com/rooms/9836503,20240925020907,2024-09-25,city scrape,Nang Ta Yon @ Ban Thap Chang Hostel,"Close to Ban Thap Chang Airport Rail Link Station (5 steps from the station), just far from Suvarnabhumi Airport Rail Link Station only 2 stations. No need taxi. Easy connect to BTS and MRT.","Easy access to Suvarnabhumi Airport, Local Bangkok lifestyle",https://a0.muscache.com/pictures/a53e709d-8e79-443b-8f09-4f06abbe3537.jpg,31276772,https://www.airbnb.com/users/show/31276772,Ja,2015-04-15,"Bangkok, Thailand","I love travelling. I would like to share my experience with new friends. I travelled alone in switzerland, Japan, Vietnam, China, Australia, Germany, Brussel and Amsterdam and Travel with my friends around Thailand,Canada,New Zealand, Hokkaido, Singapore, Bali and Maldive. My goal is make my guest as our family members.",within an hour,100%,92%,t,https://a0.muscache.com/im/pictures/user/1bf80167-5950-46d2-8c52-e9f244fb8203.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1bf80167-5950-46d2-8c52-e9f244fb8203.jpg?aki_policy=profile_x_medium,,3,4,"['email', 'phone']",t,t,"ประเวศ, กรุงเทพมหานคร, Thailand",Pra Wet,,13.73234,100.69132,Private room in home,Private room,2,0.5,Shared half-bath,1.0,1.0,"[""Hot water"", ""Hangers"", ""Extra pillows and blankets"", ""Children\u2019s books and toys"", ""First aid kit"", ""Hair dryer"", ""Breakfast"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Wifi"", ""Bed linens"", ""Kitchen"", ""Host greets you"", ""Shampoo"", ""Long term stays allowed"", ""Free parking on premises"", ""Dishes and silverware"", ""Free street parking"", ""Washer"", ""Dryer"", ""Iron"", ""Fire extinguisher"", ""TV with standard cable"", ""Essentials""]",$750.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,13,33,52,315,2024-09-25,25,4,0,2015-12-16,2024-06-12,4.56,4.68,4.6,4.8,4.76,4.64,4.56,,f,3,1,1,1,0.23
1461,11269875,https://www.airbnb.com/rooms/11269875,20240925020907,2024-09-25,city scrape,"Downtown, A view of local activities,Private space","Our location is in a residential area in the central for locals with ease of food,  facilities:shops, freshmarkets, supermarkets and healthcare units nearby and transportation to anywhere.  We use Taxi (car/bike) to commute to<br />-BTS Station 2.30 - 4.50km. (St.Louise hospital/Surasak/Saphan Taksin)<br />-Asiatique The Riverfront 3.40km<br />-Silom Rd  drinking and pubs 4.30km<br />-Saphan Taksin Pier Sathorn Pier 4.50km<br />Chao Phraya tourist boat bangkok hop-on-hop-off sightseeing boat/chao phraya express","It is in the central easy to travel to anywhere with lots of local delicious food.  Shops, supermarkets, freshmarkets, shopping department stores, Fitness & Gyms, Church, Temples, Mosqes, small Outlets are nearby <br /><br />We are in a popular residential area (Rama 3) in central of Bangkok.  It’s a touch of locals and real Thai if you would like to see real Thai not only a tourist spot. Here is your destination, you can’t miss it.<br />It is easy to travel to anywhere in Bangkok within minutes due to the location, Express Way,  Toll Way, BRT Chan Station, BTS Chongnonsi /Surasak /Saphan Taksin accessible. As well as local bus, taxi, motor bike taxi always pass the entrance from dawn till night. (A)DISTANCE FROM HERE TO<br /><br />(A.1)Wat Phai Ngoen Chotana Ram Temple (with Friday market)  450 M.<br />(A.2)DENTAL CLICK DENTAL CENTER 450 M.<br />(A.3)Green Place Plaza @ Chan Road 650 M.<br />(A.4)Soi. Sathupradit 19 , restuarants   1.10KM<br />(A.5)Saphan 3 Market (evening fresh marke",https://a0.muscache.com/pictures/fe7e766d-4e95-4265-b5bc-a0af0c1a1b57.jpg,5793490,https://www.airbnb.com/users/show/5793490,Nicky,2013-04-06,"Bangkok, Thailand","Hello, I'm Nicky,

Welcome to Thailand. 

We love to share Bangkok/Thailand with you guys.  You will be amazed with Thai culture, beauty of nature, yummy Thai food, people and places.   You're more than welcome to stay here more like very at home.

Enjoy your trips and feel free to let me know how to facilitate your journey more enjoyable.


你好，我是Nicky，

欢迎来到泰国。

我们喜欢与你们分享曼谷/泰国。您将会对泰国文化，自然之美，美味的泰式美食，人们和地方感到惊叹。你更欢迎留在这里更像在家里。

享受您的旅行，随时让我知道如何让您的旅程更愉快。

こんにちは､私はﾆｯｷｰです､

ﾀｲへようこそ。

私たちはﾊﾞﾝｺｸ/ﾀｲを皆さんと共有したいと考えています。あなたは､ﾀｲの文化､自然の美しさ､おいしいﾀｲ料理､人々､そして場所に驚かれるでしょう。あなたは､家庭のようにもっとここに滞在することを歓迎する以上のものです。

あなたの旅を楽しんで､あなたの旅をより楽しくする方法を教えてください。



Hola, soy Nicky,

Bienvenido a Tailandia.

Nos encanta compartir Bangkok / Tailandia con ustedes. Te sorprenderá la cultura tailandesa, la belleza de la naturaleza, la deliciosa comida tailandesa, las personas y los lugares. Eres más que bienvenido a quedarte aquí más como en casa.

Disfrute de sus viajes y no dude en decirme cómo facilitar su viaje más agradable.

Bonjour, je suis Nicky,

Bienvenue en Thailande.

Nous aimons partager Bangkok / Thaïlande avec vous les gars. Vous serez étonné par la culture thaïlandaise, la beauté de la nature, la délicieuse cuisine thaïlandaise, les gens et les lieux. Vous êtes plus que bienvenus pour rester ici plus comme à la maison.

Profitez de vos voyages et n'hésitez pas à me laisser savoir comment faciliter votre voyage plus agréable.

Hallo, ich bin Nicky,

Willkommen in Thailand.

Wir lieben es, Bangkok / Thailand mit euch zu teilen. Sie werden begeistert sein von der thailändischen Kultur, der Schönheit der Natur, leckerem thailändischen Essen, Menschen und Orten. Sie sind mehr als willkommen, hier mehr wie zu Hause zu bleiben.

Genießen Sie Ihre Reisen und lassen Sie mich wissen, wie Sie Ihre Reise angenehmer gestalten können.",within an hour,100%,92%,t,https://a0.muscache.com/im/users/5793490/profile_pic/1365267444/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5793490/profile_pic/1365267444/original.jpg?aki_policy=profile_x_medium,Bang Kho Laem,6,7,"['email', 'phone']",t,t,"Khet Bang Kho Laem, Krung Thep Maha Nakhon, Thailand",Bang Kho laen,,13.69871,100.52831,Entire condo,Entire home/apt,2,0.5,Half-bath,0.0,2.0,"[""Smoke alarm"", ""Dedicated workspace"", ""Hot water"", ""Carbon monoxide alarm"", ""Fast wifi \u2013 128 Mbps"", ""Paid dryer \u2013 In building"", ""Hangers"", ""Room-darkening shades"", ""Hot water kettle"", ""Hair dryer"", ""AC - split type ductless system"", ""Microwave"", ""Lockbox"", ""Bed linens"", ""Safe"", ""Shampoo"", ""Long term stays allowed"", ""60 inch HDTV with Netflix, standard cable"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Free street parking"", ""Clothing storage: closet"", ""Self check-in"", ""Shower gel"", ""Iron"", ""Bidet"", ""Fire extinguisher"", ""Private patio or balcony"", ""Hitachi refrigerator"", ""Body soap"", ""Paid washer \u2013 In building""]","$1,000.00",2,180,1,2,1125,1125,1.4,1125.0,,t,0,12,42,132,2024-09-25,14,6,0,2018-02-18,2024-05-31,4.79,4.71,4.5,4.5,4.57,4.36,4.5,,f,6,6,0,0,0.17
1993,14354555,https://www.airbnb.com/rooms/14354555,20240925020907,2024-09-25,city scrape,Luxury Japanese Resort Style one bedroom for rent,"Mori Haus Japanese Lifestyle Privacy Condo <br />Monthly rental include free Wi-Fi, water <br />Exclude electricity. <br />-Nearby BTS Onnut<br />-5mins free shuttle bus/ Tuk Tuk to ONNUT BTS<br />- Well developed Community mall Habito (7/11, International restaurants, 24hrs cafe and Hospital <br />-300m to Big C superstore and food market<br />-Night markets and bars nearby<br />-Big shopping mall, massage and cinema<br />-Half hour to the international airport<br />-hotel style outdoor swimming pool and fitness room<br />-24 hrs security and CCTV","Shopping mall is opposite to the condo, and super market just 6 minutes by walk.",https://a0.muscache.com/pictures/hosting/Hosting-14354555/original/95482d43-ee4d-4f7b-a08c-5b8165e40e4f.jpeg,20728917,https://www.airbnb.com/users/show/20728917,Joyce,2014-08-30,"Bangkok, Thailand",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/4e7fc352-11ca-4acc-a939-6a565df749e7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4e7fc352-11ca-4acc-a939-6a565df749e7.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,"曼谷, Krung Thep Maha Nakhon, Thailand",Vadhana,,13.714730965278736,100.60406587678636,Entire rental unit,Entire home/apt,2,0.5,Half-bath,1.0,1.0,"[""Gym"", ""Smoke alarm"", ""Hot water"", ""Pool"", ""Hangers"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Hot water kettle"", ""Hair dryer"", ""Freezer"", ""Refrigerator"", ""Clothing storage"", ""Housekeeping - available at extra cost"", ""Microwave"", ""TV"", ""Dining table"", ""Air conditioning"", ""Bed linens"", ""Kitchen"", ""Shampoo"", ""Elevator"", ""Long term stays allowed"", ""Dishes and silverware"", ""Free parking on premises"", ""Drying rack for clothing"", ""Fast wifi \u2013 52 Mbps"", ""Washer"", ""Cleaning products"", ""Self check-in"", ""Shower gel"", ""Portable fans"", ""Cooking basics"", ""Other induction stove"", ""Smart lock"", ""EV charger""]","$1,000.00",28,365,7,28,365,365,27.2,365.0,,t,4,12,12,45,2024-09-25,11,8,0,2016-08-13,2024-08-20,5.0,4.91,4.91,5.0,5.0,4.82,4.73,,t,1,1,0,0,0.11
2165,15312261,https://www.airbnb.com/rooms/15312261,20240925020907,2024-09-25,city scrape,Baan Kachitpan - Cozy Room,"Cozy Room comes with one King Size bed and Shared Bathroom. My place is close to  Grand Palace, Wat Pho, Wat Arun, Wat Traimit, Temple of the Golden Buddha, Wat Suthat, Giant Swing, National Museum & Wang Na Palace, Damnoen Saduak Floating Market, Khao San Road. You’ll love my place because of heritage, the comfy bed, the service. My place is good for couples and solo adventurers.",,https://a0.muscache.com/pictures/388970fa-92a3-4646-8e3a-098bb01c08e3.jpg,89606391,https://www.airbnb.com/users/show/89606391,BaanKachitpan,2016-08-12,"Bangkok, Thailand",“Baan Kachitpan” has been loving and meticulously brought back to its original beauty and glory of a Rattanakosin Era house.  The small running cracks in the woodworks on the ceiling and between the floor planks are still there as a wonderful and loving reminder of memories of the long and rich history of this 79-year-old house – “Baan Kachitpan”.,within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/f6f9a4f9-b481-4719-8ac8-c7fe6dd2b600.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f6f9a4f9-b481-4719-8ac8-c7fe6dd2b600.jpg?aki_policy=profile_x_medium,Banglampoo,5,6,"['email', 'phone']",t,t,,Phra Nakhon,,13.75693,100.49744,Room in boutique hotel,Private room,2,0.0,0 baths,1.0,1.0,"[""TV"", ""Smoke alarm"", ""Fire extinguisher"", ""Hangers"", ""First aid kit"", ""Air conditioning"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Essentials"", ""Patio or balcony""]","$1,200.00",1,30,1,1,30,30,1.0,30.0,,t,29,52,82,356,2024-09-25,86,37,2,2017-05-09,2024-09-08,4.81,4.73,4.76,4.73,4.85,4.81,4.71,,f,5,0,5,0,0.96
2172,15323201,https://www.airbnb.com/rooms/15323201,20240925020907,2024-09-25,city scrape,Baan Kachitpan - Single Room,"My place is close to the city center, art and culture close to Grand Palace Sanamluang, Kawsan Road, Wat Poh . You’ll love my place because of cozy and peaceful place with balcony. My place is good for solo adventurers.",,https://a0.muscache.com/pictures/6de9d201-9519-4b42-8beb-faf2739ef068.jpg,89606391,https://www.airbnb.com/users/show/89606391,BaanKachitpan,2016-08-12,"Bangkok, Thailand",“Baan Kachitpan” has been loving and meticulously brought back to its original beauty and glory of a Rattanakosin Era house.  The small running cracks in the woodworks on the ceiling and between the floor planks are still there as a wonderful and loving reminder of memories of the long and rich history of this 79-year-old house – “Baan Kachitpan”.,within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/f6f9a4f9-b481-4719-8ac8-c7fe6dd2b600.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f6f9a4f9-b481-4719-8ac8-c7fe6dd2b600.jpg?aki_policy=profile_x_medium,Banglampoo,5,6,"['email', 'phone']",t,t,,Phra Nakhon,,13.75455,100.49916,Private room in bed and breakfast,Private room,1,0.0,0 baths,1.0,1.0,"[""Patio or balcony"", ""TV"", ""Smoke alarm"", ""Fire extinguisher"", ""First aid kit"", ""Air conditioning"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Essentials"", ""Indoor fireplace""]",$850.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,26,47,76,351,2024-09-25,85,22,1,2016-10-03,2024-09-11,4.84,4.85,4.95,4.84,4.85,4.8,4.82,,f,5,0,5,0,0.87
2176,15336354,https://www.airbnb.com/rooms/15336354,20240925020907,2024-09-25,city scrape,Baan Kachitpan - Cozy Single Room 1,"My place is close to the city center, art and culture, near the Grand Palace, Sanam Pao, Chao Phraya River, in a peaceful atmosphere, you will love my place because it has a spacious balcony that you can really enjoy the Thai atmosphere, no matter where you go, my place is good for couples and solo adventurers.",,https://a0.muscache.com/pictures/4932a4f2-3798-4129-8af9-ccabda625671.jpg,89606391,https://www.airbnb.com/users/show/89606391,BaanKachitpan,2016-08-12,"Bangkok, Thailand",“Baan Kachitpan” has been loving and meticulously brought back to its original beauty and glory of a Rattanakosin Era house.  The small running cracks in the woodworks on the ceiling and between the floor planks are still there as a wonderful and loving reminder of memories of the long and rich history of this 79-year-old house – “Baan Kachitpan”.,within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/f6f9a4f9-b481-4719-8ac8-c7fe6dd2b600.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f6f9a4f9-b481-4719-8ac8-c7fe6dd2b600.jpg?aki_policy=profile_x_medium,Banglampoo,5,6,"['email', 'phone']",t,t,,Phra Nakhon,,13.75484,100.49988,Room in boutique hotel,Private room,1,0.0,0 baths,1.0,1.0,"[""TV"", ""Smoke alarm"", ""Fire extinguisher"", ""Dedicated workspace"", ""Air conditioning"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Essentials""]","$1,014.00",1,1125,1,1,1125,1125,1.0,1125.0,,t,25,55,85,360,2024-09-25,15,3,1,2017-07-31,2024-09-22,4.73,4.87,5.0,4.93,5.0,5.0,4.73,,f,5,0,5,0,0.17
3804,22437825,https://www.airbnb.com/rooms/22437825,20240925020907,2024-09-25,city scrape,"Cosy 1 BR, 5 mins from BTS Bearing","Cosy contemp 1 bedroom and 1 bathroom with pool and gym on rooftop.<br /><br />- walking distance to local food and market<br />- 5 mins to BTS Bearing by vehicle, 15 mins walk<br />- 15 mins to BITEC<br />- 20 mins to BTS Ekkamai/Thonglor<br />- 20 mins to Central plaza Bangna<br />- 30 mins to Ikea Bangna<br />- 30 mins to BTS Asoke<br />- 45 mins to Suvarnabhumi airport","Walking distance to local food shop and local market, a few convenience stores nearby. Take tuk-tuk service to BTS Bearing where you can get into city centre and explore BKK.",https://a0.muscache.com/pictures/e3796fd6-3cc0-40a1-a66b-7d6a4a0544ec.jpg,68042171,https://www.airbnb.com/users/show/68042171,Katie,2016-04-20,"Bangkok, Thailand","Hi there ! I'm Katie, a full-time marketer and a part-time traveller. I always curious about local food and lifestyle. I would love to share my travel experience with yours whatever as a guest or a host. I'm interested in food, music and of course travelling. In brief, I'm easy going, friendly, lots of sense of humor, sometimes solo traveller ;)

I look forward to meeting you !",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/9ff383dd-4480-45d7-a09a-25a379a0e812.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9ff383dd-4480-45d7-a09a-25a379a0e812.jpg?aki_policy=profile_x_medium,,1,6,"['email', 'phone', 'work_email']",t,t,"Khet Bang Na, Krung Thep Maha Nakhon, Thailand",Bang Na,,13.66229,100.61268,Entire condo,Entire home/apt,3,0.5,Half-bath,1.0,2.0,"[""Gym"", ""Smoke alarm"", ""Hot water"", ""Hangers"", ""Extra pillows and blankets"", ""Hair dryer"", ""Refrigerator"", ""Microwave"", ""Pocket wifi"", ""Air conditioning"", ""Wifi"", ""Conditioner"", ""Bed linens"", ""Shampoo"", ""Elevator"", ""Shared outdoor pool - available all year"", ""Long term stays allowed"", ""Dishes and silverware"", ""Free parking on premises"", ""Washer"", ""Clothing storage: closet"", ""Self check-in"", ""Shower gel"", ""Bidet"", ""Private patio or balcony"", ""TV with standard cable"", ""Essentials"", ""Keypad""]",$630.00,25,730,25,25,1125,1125,25.0,1125.0,,t,30,60,90,365,2024-09-25,44,2,0,2018-02-04,2024-03-31,4.82,4.89,4.82,4.82,4.91,4.39,4.77,,f,1,1,0,0,0.54
4675,26789349,https://www.airbnb.com/rooms/26789349,20240925020907,2024-09-25,city scrape,6 Ppl ~ Large Family Room #7: 3 bed / 3 bath,"Large Family Room #7 it's a combination of:<br /><br />1. 4A Room (1 queen size bed) and 4B Room ( 1 queen size bed) <br />2. 5A (2 single bed) <br /><br />The location is very comfortable as it's 4 minutes walk distance from the nearest Sky Train BTS Thonglor on Sukhumvit Rd. <br /><br />* Please note, this is not an entire house for you only. Maybe few more guests will be living here as well.",The neighborhood is extremely quiet and safe. On our small Rd there are only 5 private houses and the neighbors are very quiet. Furthermore we have CCTV 24 hours recording the main Rd and entrance for extra security and safety of our guests.,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjY3ODkzNDk%3D/original/52e0776f-744c-4e8f-904a-6bb4bf22aaa1.png,180473956,https://www.airbnb.com/users/show/180473956,Abe,2018-03-25,"Bangkok, Thailand","I am Abe!

Very nice to meet you all here and i look forward to host you and share with you more about Bangkok City. 

Good vibes and creating value it’s my core motto and hope you guys too :)

See you soon!",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/User-180473956/original/346b02e1-5224-4dad-b24b-d6a957253ebf.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-180473956/original/346b02e1-5224-4dad-b24b-d6a957253ebf.jpeg?aki_policy=profile_x_medium,Klong Toey,13,13,"['email', 'phone']",t,t,"Khet Khlong Toei, Krung Thep Maha Nakhon, Thailand",Khlong Toei,,13.72178,100.58062,Private room in townhouse,Private room,6,0.5,Private half-bath,3.0,4.0,"[""Hot water"", ""Hangers"", ""Hair dryer"", ""Refrigerator"", ""Patio or balcony"", ""Luggage dropoff allowed"", ""Lockbox"", ""Air conditioning"", ""Wifi"", ""Shampoo"", ""Long term stays allowed"", ""Dishes and silverware"", ""Self check-in"", ""Backyard"", ""Iron"", ""Fire extinguisher"", ""Heating"", ""Cooking basics"", ""Essentials""]","$1,499.00",3,1124,3,3,1124,1124,3.0,1124.0,,t,30,54,79,354,2024-09-25,7,0,0,2018-10-29,2023-05-14,4.29,4.0,4.0,4.71,4.86,4.29,4.71,,f,13,6,7,0,0.1
5496,30352102,https://www.airbnb.com/rooms/30352102,20240925020907,2024-09-25,city scrape,Deluxe King Room,"Deluxe room with spacious common area and friendly services, create an unforgettable stay in Bangkok. Step outside and you will be surrounded by colonial buildings and ancient temples such as Bang Khun Phrom Palace and Wat Intharawihan.",We are located on mid-area of the Bangkok city. Only 10 mins away from Khaosan Road. In our area also has variety of Street Food Thailand that you can enjoy eating.,https://a0.muscache.com/pictures/78409909-e4ab-486b-ab4e-1cc1c45b14a7.jpg,147470479,https://www.airbnb.com/users/show/147470479,Suriya,2017-08-24,,"Located in the heart of old town Bangkok, we are a new boutique hostel opening in mid of August 2018 with a unique modern industrial design. Step into modern and industrial interiors, where our rooms (Family room, Deluxe room, Standard room and Dormitory) with spacious common area and friendly services, create an unforgettable stay in Bangkok. Step outside and you will be surrounded by colonial buildings and ancient temples such as Bang Khun Phrom Palace and Wat Intharawihan (over 260 years old). You will also be able to see nice/unique attractions throughout old town, observe and learn the beauty of Thai architecture, enjoy local markets and some out-of-the-way local restaurants that provide wonderful authentic Thai food. All within easy walking distance of our hostel.",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/b2066cc6-d71b-4392-bdea-58cea911407c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b2066cc6-d71b-4392-bdea-58cea911407c.jpg?aki_policy=profile_x_medium,Banglampoo,5,5,"['email', 'phone']",t,t,"Khet Phranakorn, Bangkok, Thailand",Phra Nakhon,,13.76697,100.50314,Room in boutique hotel,Private room,2,0.0,0 shared baths,1.0,1.0,"[""Window AC unit"", ""Fire extinguisher"", ""Hot water"", ""Paid dryer \u2013 In building"", ""Washer"", ""Hangers"", ""First aid kit"", ""Wifi"", ""Hair dryer"", ""TV with standard cable"", ""Shower gel"", ""Safe"", ""Shampoo"", ""Essentials""]","$1,203.00",1,365,1,1,365,365,1.0,365.0,,t,30,60,90,365,2024-09-25,2,1,0,2023-04-17,2024-02-19,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,t,5,0,4,1,0.11
